Arizona, Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189509,390,-35
189609,405,-20
189709,395,-30
189809,424,-1
189909,462,37
190009,283,-142
190109,353,-72
190209,384,-41
190309,372,-53
190409,363,-62
190509,447,22
190609,374,-51
190709,416,-9
190809,378,-47
190909,375,-50
191009,494,69
191109,422,-3
191209,299,-126
191309,388,-37
191409,450,25
191509,346,-79
191609,361,-64
191709,425,0
191809,431,6
191909,371,-54
192009,340,-85
192109,392,-33
192209,471,46
192309,323,-102
192409,438,13
192509,352,-73
192609,436,11
192709,390,-35
192809,443,18
192909,407,-18
193009,353,-72
193109,433,8
193209,466,41
193309,488,63
193409,411,-14
193509,412,-13
193609,379,-46
193709,494,69
193809,477,52
193909,387,-38
194009,432,7
194109,325,-100
194209,427,2
194309,456,31
194409,407,-18
194509,436,11
194609,434,9
194709,500,75
194809,469,44
194909,495,70
195009,345,-80
195109,433,8
195209,488,63
195309,460,35
195409,471,46
195509,426,1
195609,519,94
195709,421,-4
195809,436,11
195909,392,-33
196009,482,57
196109,343,-82
196209,455,30
196309,479,54
196409,358,-67
196509,332,-93
196609,411,-14
196709,410,-15
196809,400,-25
196909,473,48
197009,349,-76
197109,404,-21
197209,396,-29
197309,389,-36
197409,424,-1
197509,425,0
197609,347,-78
197709,443,18
197809,412,-13
197909,524,99
198009,437,12
198109,455,30
198209,415,-10
198309,506,81
198409,453,28
198509,289,-136
198609,304,-121
198709,396,-29
198809,378,-47
198909,460,35
199009,435,10
199109,419,-6
199209,463,38
199309,412,-13
199409,472,47
199509,510,85
199609,366,-59
199709,523,98
199809,477,52
199909,460,35
200009,514,89
200109,532,107
200209,485,60
200309,504,79
200409,432,7
200509,470,45
200609,374,-51
200709,481,56
200809,479,54
200909,491,66
201009,526,101
201109,515,90
201209,465,40
201309,440,15
201409,469,44
201509,494,69
201609,409,-16
201709,432,7
