Arizona, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189501,40.4,-0.6
189601,44.6,3.6
189701,41.2,0.2
189801,35.1,-5.9
189901,38.0,-3.0
190001,45.5,4.5
190101,41.5,0.5
190201,41.9,0.9
190301,41.4,0.4
190401,37.7,-3.3
190501,43.1,2.1
190601,39.0,-2.0
190701,42.2,1.2
190801,42.9,1.9
190901,45.4,4.4
191001,40.4,-0.6
191101,45.3,4.3
191201,41.4,0.4
191301,35.7,-5.3
191401,43.8,2.8
191501,38.3,-2.7
191601,40.2,-0.8
191701,36.8,-4.2
191801,38.8,-2.2
191901,35.7,-5.3
192001,41.4,0.4
192101,41.8,0.8
192201,37.6,-3.4
192301,44.4,3.4
192401,37.8,-3.2
192501,36.7,-4.3
192601,38.2,-2.8
192701,44.1,3.1
192801,41.9,0.9
192901,38.5,-2.5
193001,38.3,-2.7
193101,39.5,-1.5
193201,34.3,-6.7
193301,35.3,-5.7
193401,42.3,1.3
193501,42.2,1.2
193601,41.1,0.1
193701,28.4,-12.6
193801,43.2,2.2
193901,40.5,-0.5
194001,42.8,1.8
194101,42.1,1.1
194201,41.1,0.1
194301,42.2,1.2
194401,39.0,-2.0
194501,40.7,-0.3
194601,38.8,-2.2
194701,38.0,-3.0
194801,41.2,0.2
194901,31.9,-9.1
195001,39.5,-1.5
195101,40.6,-0.4
195201,40.4,-0.6
195301,45.2,4.2
195401,42.3,1.3
195501,37.0,-4.0
195601,45.6,4.6
195701,42.6,1.6
195801,41.4,0.4
195901,43.2,2.2
196001,36.1,-4.9
196101,42.1,1.1
196201,38.8,-2.2
196301,37.3,-3.7
196401,37.4,-3.6
196501,43.3,2.3
196601,37.8,-3.2
196701,40.2,-0.8
196801,38.6,-2.4
196901,44.7,3.7
197001,40.8,-0.2
197101,41.0,0.0
197201,41.2,0.2
197301,37.3,-3.7
197401,39.9,-1.1
197501,40.0,-1.0
197601,41.7,0.7
197701,39.6,-1.4
197801,43.1,2.1
197901,36.5,-4.5
198001,44.1,3.1
198101,45.8,4.8
198201,41.0,0.0
198301,42.6,1.6
198401,42.4,1.4
198501,40.4,-0.6
198601,47.5,6.5
198701,39.9,-1.1
198801,40.3,-0.7
198901,39.4,-1.6
199001,40.8,-0.2
199101,40.7,-0.3
199201,39.6,-1.4
199301,43.5,2.5
199401,43.2,2.2
199501,42.1,1.1
199601,44.2,3.2
199701,42.0,1.0
199801,43.8,2.8
199901,45.4,4.4
200001,45.8,4.8
200101,40.3,-0.7
200201,42.3,1.3
200301,48.8,7.8
200401,42.8,1.8
200501,45.2,4.2
200601,44.1,3.1
200701,39.0,-2.0
200801,39.8,-1.2
200901,45.2,4.2
201001,42.2,1.2
201101,41.5,0.5
201201,45.3,4.3
201301,38.6,-2.4
201401,46.5,5.5
201501,45.1,4.1
201601,41.8,0.8
201701,42.3,1.3
201801,47.5,6.5
