Arizona, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189505,249,4
189605,234,-11
189705,294,49
189805,181,-64
189905,127,-118
190005,255,10
190105,200,-45
190205,211,-34
190305,190,-55
190405,241,-4
190505,126,-119
190605,192,-53
190705,154,-91
190805,155,-90
190905,167,-78
191005,315,70
191105,198,-47
191205,198,-47
191305,199,-46
191405,244,-1
191505,126,-119
191605,194,-51
191705,112,-133
191805,151,-94
191905,242,-3
192005,219,-26
192105,174,-71
192205,247,2
192305,269,24
192405,282,37
192505,296,51
192605,221,-24
192705,247,2
192805,300,55
192905,248,3
193005,127,-118
193105,294,49
193205,215,-30
193305,125,-120
193405,387,142
193505,143,-102
193605,323,78
193705,268,23
193805,224,-21
193905,276,31
194005,351,106
194105,226,-19
194205,198,-47
194305,282,37
194405,206,-39
194505,222,-23
194605,225,-20
194705,316,71
194805,243,-2
194905,215,-30
195005,198,-47
195105,236,-9
195205,309,64
195305,118,-127
195405,285,40
195505,198,-47
195605,283,38
195705,158,-87
195805,377,132
195905,210,-35
196005,235,-10
196105,227,-18
196205,188,-57
196305,315,70
196405,213,-32
196505,164,-81
196605,315,70
196705,215,-30
196805,230,-15
196905,292,47
197005,288,43
197105,158,-87
197205,245,0
197305,286,41
197405,273,28
197505,176,-69
197605,279,34
197705,148,-97
197805,224,-21
197905,221,-24
198005,162,-83
198105,245,0
198205,224,-21
198305,230,-15
198405,396,151
198505,293,48
198605,286,41
198705,262,17
198805,259,14
198905,303,58
199005,237,-8
199105,198,-47
199205,293,48
199305,313,68
199405,234,-11
199505,170,-75
199605,349,104
199705,415,170
199805,181,-64
199905,251,6
200005,401,156
200105,408,163
200205,276,31
200305,314,69
200405,329,84
200505,313,68
200605,367,122
200705,332,87
200805,208,-37
200905,401,156
201005,196,-49
201105,209,-36
201205,350,105
201305,314,69
201405,305,60
201505,193,-52
201605,236,-9
201705,282,37
