Arizona, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189501,508,-12
189601,390,-130
189701,488,-32
189801,676,156
189901,571,51
190001,420,-100
190101,515,-5
190201,523,3
190301,530,10
190401,636,116
190501,465,-55
190601,581,61
190701,508,-12
190801,481,-39
190901,412,-108
191001,536,16
191101,404,-116
191201,498,-22
191301,677,157
191401,443,-77
191501,599,79
191601,545,25
191701,606,86
191801,591,71
191901,602,82
192001,506,-14
192101,529,9
192201,625,105
192301,428,-92
192401,615,95
192501,614,94
192601,641,121
192701,437,-83
192801,516,-4
192901,608,88
193001,583,63
193101,554,34
193201,727,207
193301,659,139
193401,508,-12
193501,489,-31
193601,545,25
193701,837,317
193801,470,-50
193901,543,23
194001,455,-65
194101,481,-39
194201,505,-15
194301,500,-20
194401,581,61
194501,556,36
194601,587,67
194701,619,99
194801,532,12
194901,790,270
195001,586,66
195101,545,25
195201,559,39
195301,433,-87
195401,502,-18
195501,648,128
195601,404,-116
195701,475,-45
195801,516,-4
195901,459,-61
196001,656,136
196101,459,-61
196201,572,52
196301,617,97
196401,646,126
196501,468,-52
196601,622,102
196701,545,25
196801,527,7
196901,414,-106
197001,542,22
197101,530,10
197201,548,28
197301,616,96
197401,526,6
197501,546,26
197601,497,-23
197701,533,13
197801,469,-51
197901,643,123
198001,435,-85
198101,386,-134
198201,519,-1
198301,476,-44
198401,478,-42
198501,544,24
198601,339,-181
198701,546,26
198801,532,12
198901,550,30
199001,523,3
199101,518,-2
199201,524,4
199301,442,-78
199401,468,-52
199501,499,-21
199601,436,-84
199701,479,-41
199801,454,-66
199901,417,-103
200001,392,-128
200101,542,22
200201,493,-27
200301,305,-215
200401,455,-65
200501,423,-97
200601,432,-88
200701,578,58
200801,531,11
200901,397,-123
201001,456,-64
201101,501,-19
201201,404,-116
201301,573,53
201401,368,-152
201501,415,-105
201601,507,-13
201701,491,-29
201801,323,-197
