Arizona, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189502,31.0,-1.0
189602,32.5,0.5
189702,30.5,-1.5
189802,33.0,1.0
189902,30.4,-1.6
190002,31.7,-0.3
190102,34.5,2.5
190202,31.2,-0.8
190302,25.8,-6.2
190402,33.7,1.7
190502,37.4,5.4
190602,36.7,4.7
190702,36.2,4.2
190802,32.4,0.4
190902,31.2,-0.8
191002,28.9,-3.1
191102,32.6,0.6
191202,28.2,-3.8
191302,30.4,-1.6
191402,31.4,-0.6
191502,32.6,0.6
191602,35.3,3.3
191702,30.2,-1.8
191802,32.1,0.1
191902,28.0,-4.0
192002,36.6,4.6
192102,31.3,-0.7
192202,30.6,-1.4
192302,29.8,-2.2
192402,31.6,-0.4
192502,32.5,0.5
192602,32.5,0.5
192702,36.1,4.1
192802,31.4,-0.6
192902,27.5,-4.5
193002,33.4,1.4
193102,36.0,4.0
193202,34.1,2.1
193302,23.2,-8.8
193402,35.0,3.0
193502,34.2,2.2
193602,32.8,0.8
193702,29.8,-2.2
193802,33.1,1.1
193902,23.9,-8.1
194002,33.1,1.1
194102,37.3,5.3
194202,27.6,-4.4
194302,33.4,1.4
194402,30.4,-1.6
194502,32.6,0.6
194602,26.8,-5.2
194702,32.7,0.7
194802,29.0,-3.0
194902,25.7,-6.3
195002,33.2,1.2
195102,30.9,-1.1
195202,29.2,-2.8
195302,28.2,-3.8
195402,34.0,2.0
195502,25.1,-6.9
195602,26.1,-5.9
195702,38.6,6.6
195802,34.9,2.9
195902,29.8,-2.2
196002,28.1,-3.9
196102,32.0,0.0
196202,33.4,1.4
196302,35.1,3.1
196402,23.9,-8.1
196502,29.5,-2.5
196602,26.8,-5.2
196702,30.2,-1.8
196802,36.9,4.9
196902,30.7,-1.3
197002,33.9,1.9
197102,29.6,-2.4
197202,30.7,-1.3
197302,33.0,1.0
197402,27.3,-4.7
197502,29.1,-2.9
197602,35.0,3.0
197702,30.7,-1.3
197802,33.7,1.7
197902,29.1,-2.9
198002,36.0,4.0
198102,32.6,0.6
198202,33.8,1.8
198302,33.8,1.8
198402,28.6,-3.4
198502,29.7,-2.3
198602,35.3,3.3
198702,32.4,0.4
198802,33.5,1.5
198902,32.4,0.4
199002,29.5,-2.5
199102,34.8,2.8
199202,35.9,3.9
199302,34.4,2.4
199402,30.3,-1.7
199502,37.8,5.8
199602,37.3,5.3
199702,31.3,-0.7
199802,31.5,-0.5
199902,32.8,0.8
200002,34.6,2.6
200102,31.5,-0.5
200202,30.4,-1.6
200302,34.1,2.1
200402,29.8,-2.2
200502,37.0,5.0
200602,32.1,0.1
200702,33.4,1.4
200802,32.1,0.1
200902,32.7,0.7
201002,33.1,1.1
201102,27.8,-4.2
201202,31.9,-0.1
201302,28.8,-3.2
201402,35.7,3.7
201502,37.8,5.8
201602,34.5,2.5
201702,37.4,5.4
201802,32.8,0.8
