Arizona, Palmer Drought Severity Index (PDSI), February
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189502,1.61,1.80
189602,-1.33,-1.14
189702,2.12,2.31
189802,-0.88,-0.69
189902,-1.85,-1.66
190002,-4.15,-3.96
190102,-2.42,-2.23
190202,-3.95,-3.76
190302,-3.21,-3.02
190402,-3.98,-3.79
190502,3.24,3.43
190602,5.36,5.55
190702,5.21,5.40
190802,3.43,3.62
190902,2.34,2.53
191002,-0.52,-0.33
191102,1.12,1.31
191202,-2.12,-1.93
191302,0.97,1.16
191402,-0.07,0.12
191502,3.53,3.72
191602,4.99,5.18
191702,3.60,3.79
191802,0.23,0.42
191902,0.97,1.16
192002,4.80,4.99
192102,-1.70,-1.51
192202,1.23,1.42
192302,-1.10,-0.91
192402,-0.96,-0.77
192502,-2.10,-1.91
192602,-1.22,-1.03
192702,0.88,1.07
192802,-0.40,-0.21
192902,-1.93,-1.74
193002,-1.51,-1.32
193102,1.39,1.58
193202,3.93,4.12
193302,1.09,1.28
193402,-1.88,-1.69
193502,1.26,1.45
193602,-0.36,-0.17
193702,1.31,1.50
193802,0.28,0.47
193902,-0.60,-0.41
194002,-0.76,-0.57
194102,3.67,3.86
194202,-0.21,-0.02
194302,-1.85,-1.66
194402,0.81,1.00
194502,0.22,0.41
194602,-1.39,-1.20
194702,-1.36,-1.17
194802,-1.96,-1.77
194902,1.55,1.74
195002,-1.09,-0.90
195102,-3.72,-3.53
195202,1.35,1.54
195302,-0.87,-0.68
195402,-2.57,-2.38
195502,-1.62,-1.43
195602,-2.29,-2.10
195702,0.37,0.56
195802,0.24,0.43
195902,-1.50,-1.31
196002,1.82,2.01
196102,-2.00,-1.81
196202,1.12,1.31
196302,-1.55,-1.36
196402,-2.16,-1.97
196502,0.43,0.62
196602,3.70,3.89
196702,-1.33,-1.14
196802,1.15,1.34
196902,0.37,0.56
197002,-1.68,-1.49
197102,-1.71,-1.52
197202,-1.54,-1.35
197302,3.55,3.74
197402,-2.25,-2.06
197502,-2.12,-1.93
197602,-1.55,-1.36
197702,-1.38,-1.19
197802,1.89,2.08
197902,5.72,5.91
198002,4.33,4.52
198102,-2.82,-2.63
198202,0.33,0.52
198302,2.51,2.70
198402,-1.09,-0.90
198502,3.42,3.61
198602,-1.09,-0.90
198702,1.17,1.36
198802,-0.14,0.05
198902,-1.30,-1.11
199002,-3.67,-3.48
199102,0.52,0.71
199202,1.46,1.65
199302,7.62,7.81
199402,-0.98,-0.79
199502,2.05,2.24
199602,-3.13,-2.94
199702,-2.91,-2.72
199802,1.54,1.73
199902,-2.16,-1.97
200002,-3.41,-3.22
200102,1.55,1.74
200202,-3.27,-3.08
200302,-3.51,-3.32
200402,-3.12,-2.93
200502,4.34,4.53
200602,-3.64,-3.45
200702,-3.24,-3.05
200802,-1.64,-1.45
200902,-1.42,-1.23
201002,1.88,2.07
201102,-1.25,-1.06
201202,-2.94,-2.75
201302,-2.79,-2.60
201402,-3.06,-2.87
201502,-2.19,-2.00
201602,-1.06,-0.87
201702,-0.66,-0.47
201802,-3.99,-3.80
