Arizona, Precipitation, May
Units: Inches
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189505,0.36,0.03
189605,0.12,-0.21
189705,0.25,-0.08
189805,0.46,0.13
189905,0.02,-0.31
190005,0.20,-0.13
190105,0.45,0.12
190205,0.36,0.03
190305,0.27,-0.06
190405,0.44,0.11
190505,0.39,0.06
190605,0.16,-0.17
190705,0.74,0.41
190805,0.36,0.03
190905,0.05,-0.28
191005,0.03,-0.30
191105,0.02,-0.31
191205,0.24,-0.09
191305,0.03,-0.30
191405,0.34,0.01
191505,0.48,0.15
191605,0.21,-0.12
191705,0.88,0.55
191805,0.09,-0.24
191905,0.62,0.29
192005,0.44,0.11
192105,0.41,0.08
192205,0.36,0.03
192305,0.22,-0.11
192405,0.11,-0.22
192505,0.18,-0.15
192605,0.65,0.32
192705,0.11,-0.22
192805,0.62,0.29
192905,0.17,-0.16
193005,0.81,0.48
193105,0.38,0.05
193205,0.32,-0.01
193305,0.24,-0.09
193405,0.64,0.31
193505,0.60,0.27
193605,0.16,-0.17
193705,0.30,-0.03
193805,0.27,-0.06
193905,0.07,-0.26
194005,0.32,-0.01
194105,0.72,0.39
194205,0.01,-0.32
194305,0.12,-0.21
194405,0.51,0.18
194505,0.04,-0.29
194605,0.10,-0.23
194705,0.66,0.33
194805,0.04,-0.29
194905,0.31,-0.02
195005,0.09,-0.24
195105,0.43,0.10
195205,0.07,-0.26
195305,0.11,-0.22
195405,0.48,0.15
195505,0.16,-0.17
195605,0.14,-0.19
195705,0.94,0.61
195805,0.40,0.07
195905,0.11,-0.22
196005,0.27,-0.06
196105,0.07,-0.26
196205,0.12,-0.21
196305,0.01,-0.32
196405,0.15,-0.18
196505,0.61,0.28
196605,0.11,-0.22
196705,0.37,0.04
196805,0.14,-0.19
196905,0.74,0.41
197005,0.04,-0.29
197105,0.34,0.01
197205,0.20,-0.13
197305,0.65,0.32
197405,0.02,-0.31
197505,0.16,-0.17
197605,0.87,0.54
197705,0.41,0.08
197805,0.51,0.18
197905,1.04,0.71
198005,0.36,0.03
198105,0.62,0.29
198205,0.91,0.58
198305,0.09,-0.24
198405,0.12,-0.21
198505,0.17,-0.16
198605,0.28,-0.05
198705,0.63,0.30
198805,0.09,-0.24
198905,0.24,-0.09
199005,0.40,0.07
199105,0.08,-0.25
199205,1.64,1.31
199305,0.41,0.08
199405,0.59,0.26
199505,0.43,0.10
199605,0.09,-0.24
199705,0.37,0.04
199805,0.26,-0.07
199905,0.17,-0.16
200005,0.02,-0.31
200105,0.37,0.04
200205,0.01,-0.32
200305,0.10,-0.23
200405,0.01,-0.32
200505,0.21,-0.12
200605,0.05,-0.28
200705,0.30,-0.03
200805,0.65,0.32
200905,0.74,0.41
201005,0.06,-0.27
201105,0.28,-0.05
201205,0.05,-0.28
201305,0.06,-0.27
201405,0.07,-0.26
201505,1.00,0.67
201605,0.52,0.19
201705,0.41,0.08
