Arizona, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189502,383,6
189602,327,-50
189702,459,82
189802,297,-80
189902,442,65
190002,366,-11
190102,383,6
190202,379,2
190302,548,171
190402,294,-83
190502,383,6
190602,330,-47
190702,280,-97
190802,398,21
190902,420,43
191002,421,44
191102,423,46
191202,396,19
191302,447,70
191402,394,17
191502,424,47
191602,285,-92
191702,426,49
191802,382,5
191902,512,135
192002,338,-39
192102,349,-28
192202,423,46
192302,421,44
192402,338,-39
192502,316,-61
192602,348,-29
192702,324,-53
192802,418,41
192902,487,110
193002,292,-85
193102,358,-19
193202,384,7
193302,573,196
193402,283,-94
193502,350,-27
193602,404,27
193702,437,60
193802,389,12
193902,609,232
194002,378,1
194102,322,-55
194202,483,106
194302,299,-78
194402,472,95
194502,389,12
194602,448,71
194702,304,-73
194802,462,85
194902,500,123
195002,311,-66
195102,397,20
195202,441,64
195302,434,57
195402,248,-129
195502,518,141
195602,523,146
195702,233,-144
195802,330,-47
195902,438,61
196002,514,137
196102,352,-25
196202,366,-11
196302,263,-114
196402,533,156
196502,427,50
196602,524,147
196702,347,-30
196802,273,-104
196902,433,56
197002,303,-74
197102,393,16
197202,321,-56
197302,405,28
197402,423,46
197502,442,65
197602,304,-73
197702,329,-48
197802,380,3
197902,423,46
198002,304,-73
198102,310,-67
198202,337,-40
198302,385,8
198402,386,9
198502,429,52
198602,313,-64
198702,385,8
198802,303,-74
198902,329,-48
199002,440,63
199102,253,-124
199202,317,-60
199302,394,17
199402,412,35
199502,242,-135
199602,251,-126
199702,373,-4
199802,460,83
199902,300,-77
200002,292,-85
200102,410,33
200202,331,-46
200302,360,-17
200402,447,70
200502,349,-28
200602,298,-79
200702,335,-42
200802,377,0
200902,325,-52
201002,375,-2
201102,463,86
201202,352,-25
201302,445,68
201402,250,-127
201502,216,-161
201602,226,-151
201702,278,-99
201802,327,-50
