Arizona, Palmer Hydrological Drought Index (PHDI), August
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189508,1.62,1.73
189608,-1.28,-1.17
189708,-1.11,-1.00
189808,-1.13,-1.02
189908,-2.51,-2.40
190008,-5.23,-5.12
190108,-2.66,-2.55
190208,-5.29,-5.18
190308,-2.58,-2.47
190408,-3.17,-3.06
190508,6.12,6.23
190608,6.48,6.59
190708,5.71,5.82
190808,2.67,2.78
190908,4.05,4.16
191008,-1.97,-1.86
191108,1.71,1.82
191208,2.21,2.32
191308,-0.57,-0.46
191408,1.00,1.11
191508,6.03,6.14
191608,4.72,4.83
191708,3.52,3.63
191808,-0.72,-0.61
191908,3.15,3.26
192008,4.86,4.97
192108,2.45,2.56
192208,2.08,2.19
192308,1.05,1.16
192408,-1.27,-1.16
192508,-1.92,-1.81
192608,-1.52,-1.41
192708,2.12,2.23
192808,-1.98,-1.87
192908,-1.22,-1.11
193008,0.83,0.94
193108,2.53,2.64
193208,3.85,3.96
193308,1.28,1.39
193408,-3.49,-3.38
193508,2.74,2.85
193608,-1.20,-1.09
193708,1.56,1.67
193808,-0.52,-0.41
193908,-1.67,-1.56
194008,-2.84,-2.73
194108,7.64,7.75
194208,1.64,1.75
194308,-2.36,-2.25
194408,-1.13,-1.02
194508,1.05,1.16
194608,-1.66,-1.55
194708,-2.87,-2.76
194808,-2.13,-2.02
194908,1.35,1.46
195008,-2.37,-2.26
195108,-1.55,-1.44
195208,3.45,3.56
195308,0.68,0.79
195408,-1.14,-1.03
195508,2.21,2.32
195608,-4.08,-3.97
195708,-1.23,-1.12
195808,1.05,1.16
195908,-2.32,-2.21
196008,-1.69,-1.58
196108,-2.48,-2.37
196208,-1.90,-1.79
196308,-1.68,-1.57
196408,-1.53,-1.42
196508,1.96,2.07
196608,2.69,2.80
196708,-1.05,-0.94
196808,1.96,2.07
196908,0.16,0.27
197008,-1.10,-0.99
197108,-2.30,-2.19
197208,-3.62,-3.51
197308,4.95,5.06
197408,-3.37,-3.26
197508,-1.83,-1.72
197608,-1.72,-1.61
197708,-2.35,-2.24
197808,2.70,2.81
197908,6.12,6.23
198008,3.99,4.10
198108,-2.38,-2.27
198208,1.18,1.29
198308,5.72,5.83
198408,2.11,2.22
198508,2.35,2.46
198608,-0.83,-0.72
198708,-0.32,-0.21
198808,1.83,1.94
198908,-3.87,-3.76
199008,-2.17,-2.06
199108,0.74,0.85
199208,5.27,5.38
199308,5.39,5.50
199408,-2.77,-2.66
199508,2.08,2.19
199608,-5.19,-5.08
199708,-3.78,-3.67
199808,3.13,3.24
199908,-1.04,-0.93
200008,-4.49,-4.38
200108,-0.61,-0.50
200208,-6.20,-6.09
200308,-3.88,-3.77
200408,-4.38,-4.27
200508,4.19,4.30
200608,-3.49,-3.38
200708,-4.11,-4.00
200808,-0.61,-0.50
200908,-4.06,-3.95
201008,1.78,1.89
201108,-3.48,-3.37
201208,-3.39,-3.28
201308,-2.55,-2.44
201408,-3.33,-3.22
201508,-1.49,-1.38
201608,-2.39,-2.28
201708,-1.24,-1.13
