Arizona, Palmer Z-Index, April
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189504,0.33,0.41
189604,-1.49,-1.41
189704,-0.25,-0.17
189804,-1.17,-1.09
189904,-1.82,-1.74
190004,1.79,1.87
190104,-0.68,-0.60
190204,-2.86,-2.78
190304,0.26,0.34
190404,-2.93,-2.85
190504,4.97,5.05
190604,1.95,2.03
190704,1.24,1.32
190804,0.15,0.23
190904,0.29,0.37
191004,-1.50,-1.42
191104,-0.11,-0.03
191204,2.21,2.29
191304,-0.16,-0.08
191404,-0.94,-0.86
191504,3.79,3.87
191604,0.91,0.99
191704,2.46,2.54
191804,-0.34,-0.26
191904,0.78,0.86
192004,0.89,0.97
192104,-1.62,-1.54
192204,1.33,1.41
192304,0.60,0.68
192404,1.36,1.44
192504,-0.38,-0.30
192604,4.15,4.23
192704,0.96,1.04
192804,-1.25,-1.17
192904,0.14,0.22
193004,-0.30,-0.22
193104,1.32,1.40
193204,0.86,0.94
193304,0.70,0.78
193404,-2.31,-2.23
193504,0.82,0.90
193604,-1.28,-1.20
193704,0.24,0.32
193804,-0.14,-0.06
193904,0.02,0.10
194004,-1.03,-0.95
194104,4.97,5.05
194204,1.56,1.64
194304,-0.75,-0.67
194404,1.66,1.74
194504,0.23,0.31
194604,-1.22,-1.14
194704,-2.56,-2.48
194804,-0.65,-0.57
194904,0.23,0.31
195004,-2.61,-2.53
195104,1.47,1.55
195204,3.68,3.76
195304,0.08,0.16
195404,-1.46,-1.38
195504,-1.46,-1.38
195604,-1.78,-1.70
195704,-0.29,-0.21
195804,1.95,2.03
195904,-2.70,-2.62
196004,-0.70,-0.62
196104,-1.65,-1.57
196204,-0.88,-0.80
196304,-0.12,-0.04
196404,0.75,0.83
196504,3.21,3.29
196604,0.24,0.32
196704,-0.99,-0.91
196804,0.97,1.05
196904,-0.44,-0.36
197004,0.84,0.92
197104,-1.84,-1.76
197204,-2.70,-2.62
197304,1.07,1.15
197404,-1.68,-1.60
197504,1.92,2.00
197604,1.18,1.26
197704,-1.56,-1.48
197804,1.39,1.47
197904,0.75,0.83
198004,1.50,1.58
198104,-0.67,-0.59
198204,-0.05,0.03
198304,1.63,1.71
198404,-0.95,-0.87
198504,2.07,2.15
198604,-0.35,-0.27
198704,-0.30,-0.22
198804,2.79,2.87
198904,-4.03,-3.95
199004,-0.95,-0.87
199104,-0.13,-0.05
199204,0.89,0.97
199304,0.45,0.53
199404,-0.14,-0.06
199504,1.44,1.52
199604,-3.31,-3.23
199704,-0.59,-0.51
199804,1.54,1.62
199904,0.92,1.00
200004,-2.62,-2.54
200104,1.27,1.35
200204,-3.50,-3.42
200304,-0.15,-0.07
200404,0.18,0.26
200504,1.87,1.95
200604,-1.88,-1.80
200704,-2.79,-2.71
200804,-1.23,-1.15
200904,-1.78,-1.70
201004,0.53,0.61
201104,-2.04,-1.96
201204,-2.64,-2.56
201304,-2.09,-2.01
201404,-2.74,-2.66
201504,-1.53,-1.45
201604,-1.19,-1.11
201704,-1.47,-1.39
